price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
9408.26,9410.99,9391.59,9396.32,2018-04-30T00:00:59.0000000Z,2018-04-30T00:00:00.0000000Z,2018-04-30T00:01:00.0000000Z,2018-04-30T00:00:00.0000000Z,35,2.04206421
9417.53,9417.53,9394.93,9404.0,2018-04-30T00:01:58.0000000Z,2018-04-30T00:01:08.0000000Z,2018-04-30T00:02:00.0000000Z,2018-04-30T00:01:00.0000000Z,54,6.59044201
9418.72,9418.8,9410.6,9417.84,2018-04-30T00:02:56.0000000Z,2018-04-30T00:02:00.0000000Z,2018-04-30T00:03:00.0000000Z,2018-04-30T00:02:00.0000000Z,26,5.41924586
9403.32,9418.59,9403.32,9408.51,2018-04-30T00:03:57.0000000Z,2018-04-30T00:03:01.0000000Z,2018-04-30T00:04:00.0000000Z,2018-04-30T00:03:00.0000000Z,22,4.74774251
9410.52,9418.98,9405.23,9405.23,2018-04-30T00:04:56.0000000Z,2018-04-30T00:04:00.0000000Z,2018-04-30T00:05:00.0000000Z,2018-04-30T00:04:00.0000000Z,30,4.41553263
9420.4,9420.4,9410.54,9415.98,2018-04-30T00:05:59.0000000Z,2018-04-30T00:05:01.0000000Z,2018-04-30T00:06:00.0000000Z,2018-04-30T00:05:00.0000000Z,33,5.59086623
9408.12,9420.4,9408.1,9420.4,2018-04-30T00:06:52.0000000Z,2018-04-30T00:06:00.0000000Z,2018-04-30T00:07:00.0000000Z,2018-04-30T00:06:00.0000000Z,14,2.94557406
9416.99,9420.4,9406.87,9420.09,2018-04-30T00:07:58.0000000Z,2018-04-30T00:07:02.0000000Z,2018-04-30T00:08:00.0000000Z,2018-04-30T00:07:00.0000000Z,11,0.65400886
9417.0,9417.0,9407.95,9416.99,2018-04-30T00:08:58.0000000Z,2018-04-30T00:08:03.0000000Z,2018-04-30T00:09:00.0000000Z,2018-04-30T00:08:00.0000000Z,22,1.40250095
9418.98,9419.0,9411.28,9416.99,2018-04-30T00:09:59.0000000Z,2018-04-30T00:09:02.0000000Z,2018-04-30T00:10:00.0000000Z,2018-04-30T00:09:00.0000000Z,19,1.761177
9408.81,9418.98,9408.7,9415.81,2018-04-30T00:10:59.0000000Z,2018-04-30T00:10:04.0000000Z,2018-04-30T00:11:00.0000000Z,2018-04-30T00:10:00.0000000Z,15,1.05589888
9410.21,9418.59,9408.62,9408.62,2018-04-30T00:11:55.0000000Z,2018-04-30T00:11:04.0000000Z,2018-04-30T00:12:00.0000000Z,2018-04-30T00:11:00.0000000Z,9,0.74826057
9414.98,9417.83,9408.86,9417.83,2018-04-30T00:12:50.0000000Z,2018-04-30T00:12:00.0000000Z,2018-04-30T00:13:00.0000000Z,2018-04-30T00:12:00.0000000Z,8,1.29532708
9416.98,9417.85,9408.88,9414.98,2018-04-30T00:13:55.0000000Z,2018-04-30T00:13:04.0000000Z,2018-04-30T00:14:00.0000000Z,2018-04-30T00:13:00.0000000Z,9,0.330357629
9420.39,9420.4,9410.92,9416.98,2018-04-30T00:14:56.0000000Z,2018-04-30T00:14:01.0000000Z,2018-04-30T00:15:00.0000000Z,2018-04-30T00:14:00.0000000Z,32,2.45550682
9420.39,9420.4,9411.94,9420.36,2018-04-30T00:15:57.0000000Z,2018-04-30T00:15:03.0000000Z,2018-04-30T00:16:00.0000000Z,2018-04-30T00:15:00.0000000Z,10,1.69449065
9418.08,9420.4,9412.08,9420.39,2018-04-30T00:16:47.0000000Z,2018-04-30T00:16:01.0000000Z,2018-04-30T00:17:00.0000000Z,2018-04-30T00:16:00.0000000Z,19,2.32594662
9418.42,9418.42,9407.13,9411.8,2018-04-30T00:17:43.0000000Z,2018-04-30T00:17:02.0000000Z,2018-04-30T00:18:00.0000000Z,2018-04-30T00:17:00.0000000Z,16,2.90652311
9407.05,9418.42,9407.04,9407.04,2018-04-30T00:18:57.0000000Z,2018-04-30T00:18:02.0000000Z,2018-04-30T00:19:00.0000000Z,2018-04-30T00:18:00.0000000Z,6,0.24677982
9412.25,9412.25,9395.49,9407.05,2018-04-30T00:19:53.0000000Z,2018-04-30T00:19:07.0000000Z,2018-04-30T00:20:00.0000000Z,2018-04-30T00:19:00.0000000Z,14,1.72756559
9400.59,9414.03,9400.43,9411.73,2018-04-30T00:20:58.0000000Z,2018-04-30T00:20:03.0000000Z,2018-04-30T00:21:00.0000000Z,2018-04-30T00:20:00.0000000Z,43,7.78899294
9405.6,9407.59,9395.05,9407.52,2018-04-30T00:21:59.0000000Z,2018-04-30T00:21:07.0000000Z,2018-04-30T00:22:00.0000000Z,2018-04-30T00:21:00.0000000Z,29,4.34346743
9394.98,9405.9,9386.37,9405.9,2018-04-30T00:22:59.0000000Z,2018-04-30T00:22:02.0000000Z,2018-04-30T00:23:00.0000000Z,2018-04-30T00:22:00.0000000Z,61,16.93168143
9385.02,9398.93,9385.02,9398.93,2018-04-30T00:23:58.0000000Z,2018-04-30T00:23:00.0000000Z,2018-04-30T00:24:00.0000000Z,2018-04-30T00:23:00.0000000Z,50,9.92656991
9380.0,9392.98,9380.0,9392.38,2018-04-30T00:24:55.0000000Z,2018-04-30T00:24:00.0000000Z,2018-04-30T00:25:00.0000000Z,2018-04-30T00:24:00.0000000Z,28,7.80165506
9372.53,9390.16,9357.24,9380.0,2018-04-30T00:25:55.0000000Z,2018-04-30T00:25:00.0000000Z,2018-04-30T00:26:00.0000000Z,2018-04-30T00:25:00.0000000Z,47,27.24899662
9367.92,9379.8,9356.87,9372.98,2018-04-30T00:26:57.0000000Z,2018-04-30T00:26:01.0000000Z,2018-04-30T00:27:00.0000000Z,2018-04-30T00:26:00.0000000Z,42,16.97611917
9362.73,9375.09,9359.22,9359.22,2018-04-30T00:27:51.0000000Z,2018-04-30T00:27:01.0000000Z,2018-04-30T00:28:00.0000000Z,2018-04-30T00:27:00.0000000Z,37,6.55082917
9370.98,9370.98,9359.15,9362.76,2018-04-30T00:28:57.0000000Z,2018-04-30T00:28:01.0000000Z,2018-04-30T00:29:00.0000000Z,2018-04-30T00:28:00.0000000Z,20,2.17973356
9375.98,9375.98,9361.43,9370.98,2018-04-30T00:29:55.0000000Z,2018-04-30T00:29:00.0000000Z,2018-04-30T00:30:00.0000000Z,2018-04-30T00:29:00.0000000Z,23,1.61127368
9385.98,9387.67,9369.38,9369.38,2018-04-30T00:30:48.0000000Z,2018-04-30T00:30:07.0000000Z,2018-04-30T00:31:00.0000000Z,2018-04-30T00:30:00.0000000Z,37,1.72975449
9385.98,9385.98,9379.43,9385.98,2018-04-30T00:31:53.0000000Z,2018-04-30T00:31:03.0000000Z,2018-04-30T00:32:00.0000000Z,2018-04-30T00:31:00.0000000Z,17,0.83811726
9380.14,9385.98,9365.11,9374.78,2018-04-30T00:32:59.0000000Z,2018-04-30T00:32:03.0000000Z,2018-04-30T00:33:00.0000000Z,2018-04-30T00:32:00.0000000Z,17,1.04783699
