data_end,data_orderbook_end,data_orderbook_start,data_quote_end,data_quote_start,data_start,data_symbols_count,data_trade_count,data_trade_end,data_trade_start,exchange_id,name,website
2018-05-05,2018-05-05T13:08:03.6910000Z,2017-12-18T21:50:58.3910192Z,2018-05-05T13:08:03.6910000Z,2017-12-18T21:50:58.3910192Z,2017-09-06,313,459759145.0,2018-05-05T13:07:47.0500000Z,2017-09-06T10:29:03.1290000Z,BINANCE,Binance,https://www.binance.com/
2018-05-05,2018-05-05T13:07:44.1363894Z,2015-05-17T00:51:32.6370000Z,2018-05-05T13:07:44.1363894Z,2015-05-17T00:51:32.6370000Z,2015-01-14,13,135908411.0,2018-05-05T13:07:44.9290000Z,2015-01-14T16:07:05.0000000Z,COINBASE,GDAX,https://www.gdax.com/
2018-05-05,2018-05-05T13:07:43.0990494Z,2014-02-24T17:43:05.0000000Z,2018-05-05T13:07:43.0990494Z,2014-02-24T17:43:05.0000000Z,2011-09-13,15,51653022.0,2018-05-05T13:07:31.0000000Z,2011-09-13T13:53:36.0000000Z,BITSTAMP,Bitstamp Ltd.,https://www.bitstamp.net/
2018-03-09,2018-03-09T23:34:52.5800000Z,2015-02-15T12:53:50.3430000Z,2018-03-09T23:34:52.5800000Z,2015-02-15T12:53:50.3430000Z,2013-06-12,2,2085401174.0,2018-03-09T23:23:30.4030000Z,2013-06-12T14:24:24.0000000Z,OKCOIN_CNY,OKCoin CNY,https://www.okcoin.cn/
2018-05-05,2018-05-05T13:09:22.3211489Z,2017-03-14T20:03:47.4782440Z,2018-05-05T13:09:22.3211489Z,2017-03-14T20:03:47.4782440Z,2017-01-26,352,304302299.0,2018-05-05T13:08:48.0330000Z,2017-01-26T19:48:55.0000000Z,BITTREX,Bittrex,https://bittrex.com/
2018-05-05,2018-05-05T13:09:43.5240263Z,2016-06-12T11:53:38.1523879Z,2018-05-05T13:09:43.5240263Z,2016-06-12T11:53:38.1523879Z,2016-05-29,173,247064252.0,2018-05-05T13:09:19.0000000Z,2016-05-29T15:05:08.0000000Z,POLONIEX,POLONIEX,https://poloniex.com/
2018-05-05,2018-05-05T13:09:43.5083859Z,2014-02-24T17:43:05.0000000Z,2018-05-05T13:09:43.5083859Z,2014-02-24T17:43:05.0000000Z,2013-03-31,169,194726966.0,2018-05-05T13:09:52.0000000Z,2013-03-31T22:07:48.0000000Z,BITFINEX,Bitfinex,https://www.bitfinex.com/
2018-05-05,2018-05-05T13:09:40.8899604Z,2014-07-31T13:05:46.0000000Z,2018-05-05T13:09:40.8899604Z,2014-07-31T13:05:46.0000000Z,2013-10-22,90,132759968.0,2018-05-05T13:09:55.1150000Z,2013-10-22T23:09:46.8630000Z,KRAKEN,Kraken,https://www.kraken.com/
2018-05-05,2018-05-05T13:08:22.3279208Z,2018-01-24T00:22:17.2456560Z,2018-05-05T13:08:22.3279208Z,2018-01-24T00:22:17.2456560Z,2018-01-22,223,125695669.0,2018-05-04T14:19:12.3900000Z,2018-01-22T12:55:12.5650000Z,HUOBIPRO,Huobi Pro,https://www.huobi.pro/
2018-05-05,2018-05-05T13:10:04.0574331Z,2017-03-18T22:53:44.4091161Z,2018-05-05T13:10:04.0574331Z,2017-03-18T22:53:44.4091161Z,2013-12-27,642,118907739.0,2018-05-05T13:09:32.0000000Z,2013-12-27T08:23:37.0000000Z,HITBTC,HitBTC,https://hitbtc.io/
2018-03-09,2018-03-09T23:36:46.2227576Z,2015-03-29T04:20:18.0000000Z,2018-03-09T23:36:46.2227576Z,2015-03-29T04:20:18.0000000Z,2011-06-13,3,118500419.0,2018-03-09T23:34:52.2430000Z,2011-06-13T05:13:24.0000000Z,BTCCHINA,BTCCHINA,https://www.btcchina.com/
2018-05-05,2018-05-05T13:09:01.1264197Z,2017-09-21T13:50:30.0371289Z,2018-05-05T13:09:01.1264197Z,2017-09-21T13:50:30.0371289Z,2017-09-21,12,92086151.0,2018-05-05T13:09:06.0000000Z,2017-09-21T13:43:23.0000000Z,BITHUMB,BITHUMB,https://www.bithumb.com/
